Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
0,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00000_0.tif,0.0046,0.0022,0,1.38,0.022
1,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00001_0.tif,0.0046,0.0022,0,1.38,0.022
2,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00002_0.tif,0.0046,0.0022,0,1.38,0.022
3,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00003_0.tif,0.0046,0.0022,0,1.38,0.022
4,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00004_0.tif,0.0046,0.0022,0,1.38,0.022
5,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00005_0.tif,0.0046,0.0073,0,1.38,0.073
6,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00006_0.tif,0.0046,0.0124,0,1.38,0.124
7,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00007_0.tif,0.0046,0.0226,0,1.38,0.226
8,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00008_0.tif,0.0046,0.0276,0,1.38,0.276
9,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00009_0.tif,0.0046,0.0327,0,1.38,0.327
10,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00010_0.tif,0.0046,0.0429,0,1.38,0.429
11,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00011_0.tif,0.0046,0.048,0,1.38,0.48
12,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00012_0.tif,0.0046,0.0531,0,1.38,0.531
13,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00013_0.tif,0.0046,0.0582,0,1.38,0.582
14,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00014_0.tif,0.0046,0.0684,0,1.38,0.684
15,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00015_0.tif,0.0096,0.0734,0,2.88,0.734
16,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00016_0.tif,0.0096,0.0836,0,2.88,0.836
17,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00017_0.tif,0.0453,0.0887,0,13.59,0.887
18,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00018_0.tif,0.1368,0.0938,0,41.04,0.938
19,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00019_0.tif,0.2487,0.0989,0,74.61,0.989
20,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00020_0.tif,0.3759,0.1091,0,112.77,1.091
21,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00021_0.tif,0.5081,0.1141,0,152.43,1.141
22,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00022_0.tif,0.6454,0.1243,0,193.62,1.243
23,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00023_0.tif,0.7675,0.1294,0,230.25,1.294
24,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00024_0.tif,0.9048,0.1345,0,271.44,1.345
25,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00025_0.tif,1.032,0.1396,0,309.6,1.396
26,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00026_0.tif,1.154,0.1498,0,346.2,1.498
27,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00027_0.tif,1.2812,0.1548,0,384.36,1.548
28,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00028_0.tif,1.3982,0.1599,0,419.46,1.599
29,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00029_0.tif,1.5152,0.1701,0,454.56,1.701
30,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00030_0.tif,1.6271,0.1752,0,488.13,1.752
31,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00031_0.tif,1.739,0.1803,0,521.7,1.803
32,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00032_0.tif,1.8407,0.1905,0,552.21,1.905
33,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00033_0.tif,1.9424,0.1955,0,582.72,1.955
34,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00034_0.tif,2.039,0.2006,0,611.7,2.006
35,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00035_0.tif,2.1357,0.2108,0,640.71,2.108
36,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00036_0.tif,2.2272,0.2159,0,668.16,2.159
37,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00037_0.tif,2.3137,0.221,0,694.11,2.21
38,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00038_0.tif,2.4052,0.2312,0,721.56,2.312
39,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00039_0.tif,2.4815,0.2362,0,744.45,2.362
40,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00040_0.tif,2.5477,0.2413,0,764.31,2.413
41,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00041_0.tif,2.6189,0.2464,0,785.67,2.464
42,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00042_0.tif,2.6901,0.2566,0,807.03,2.566
43,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00043_0.tif,2.7511,0.2617,0,825.33,2.617
44,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00044_0.tif,2.8172,0.2668,0,845.16,2.668
45,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00045_0.tif,2.8884,0.2719,0,866.52,2.719
46,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00046_0.tif,2.9596,0.282,0,887.88,2.82
47,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00047_0.tif,3.0207,0.2922,0,906.21,2.922
48,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00048_0.tif,3.0817,0.2973,0,924.51,2.973
49,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00049_0.tif,3.1427,0.3024,0,942.81,3.024
50,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00050_0.tif,3.1987,0.3075,0,959.61,3.075
51,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00051_0.tif,3.2546,0.3176,0,976.38,3.176
52,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00052_0.tif,3.3004,0.3227,0,990.12,3.227
53,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00053_0.tif,3.3513,0.3278,0,1005.39,3.278
54,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00054_0.tif,3.3971,0.338,0,1019.13,3.38
55,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00055_0.tif,3.4428,0.338,0,1032.84,3.38
56,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00056_0.tif,3.4886,0.3482,0,1046.58,3.482
57,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00057_0.tif,3.5242,0.3533,0,1057.26,3.533
58,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00058_0.tif,3.5649,0.3634,0,1069.47,3.634
59,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00059_0.tif,3.5954,0.3685,0,1078.62,3.685
60,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00060_0.tif,3.6361,0.3736,0,1090.83,3.736
61,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00061_0.tif,3.6666,0.3787,0,1099.98,3.787
62,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00062_0.tif,3.6971,0.3889,0,1109.13,3.889
63,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00063_0.tif,3.7277,0.394,0,1118.31,3.94
64,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00064_0.tif,3.7531,0.399,0,1125.93,3.99
65,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00065_0.tif,3.7785,0.4092,0,1133.55,4.092
66,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00066_0.tif,3.8039,0.4143,0,1141.17,4.143
67,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00067_0.tif,3.8345,0.4194,0,1150.35,4.194
68,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00068_0.tif,3.8548,0.4296,0,1156.44,4.296
69,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00069_0.tif,3.8752,0.4347,0,1162.56,4.347
70,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00070_0.tif,3.8955,0.4397,0,1168.65,4.397
71,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00071_0.tif,3.9108,0.4499,0,1173.24,4.499
72,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00072_0.tif,3.9209,0.455,0,1176.27,4.55
73,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00073_0.tif,3.9362,0.4601,0,1180.86,4.601
74,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00074_0.tif,3.9464,0.4703,0,1183.92,4.703
75,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00075_0.tif,3.9565,0.4754,0,1186.95,4.754
76,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00076_0.tif,3.9667,0.4804,0,1190.01,4.804
77,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00077_0.tif,3.9718,0.4906,0,1191.54,4.906
78,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00078_0.tif,3.982,0.4957,0,1194.6,4.957
79,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00079_0.tif,3.987,0.5008,0,1196.1,5.008
80,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00080_0.tif,3.9921,0.5059,0,1197.63,5.059
81,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00081_0.tif,3.9921,0.5161,0,1197.63,5.161
82,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00082_0.tif,3.9972,0.5211,0,1199.16,5.211
83,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00083_0.tif,4.0023,0.5313,0,1200.69,5.313
84,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00084_0.tif,4.0023,0.5364,0,1200.69,5.364
85,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00085_0.tif,4.0023,0.5415,0,1200.69,5.415
86,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00086_0.tif,4.0074,0.5466,0,1202.22,5.466
87,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00087_0.tif,4.0074,0.5568,0,1202.22,5.568
88,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00088_0.tif,4.0023,0.5619,0,1200.69,5.619
89,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00089_0.tif,4.0023,0.5669,0,1200.69,5.669
90,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00090_0.tif,4.0074,0.5771,0,1202.22,5.771
91,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00091_0.tif,4.0074,0.5822,0,1202.22,5.822
92,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00092_0.tif,4.0074,0.5873,0,1202.22,5.873
93,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00093_0.tif,4.0023,0.5924,0,1200.69,5.924
94,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00094_0.tif,4.0023,0.6026,0,1200.69,6.026
95,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00095_0.tif,4.0023,0.6076,0,1200.69,6.076
96,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00096_0.tif,4.0023,0.6178,0,1200.69,6.178
97,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00097_0.tif,4.0023,0.6229,0,1200.69,6.229
98,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00098_0.tif,3.9972,0.628,0,1199.16,6.28
99,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00099_0.tif,3.9972,0.6331,0,1199.16,6.331
100,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00100_0.tif,3.9972,0.6433,0,1199.16,6.433
101,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00101_0.tif,3.9921,0.6483,0,1197.63,6.483
102,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00102_0.tif,3.9921,0.6534,0,1197.63,6.534
103,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00103_0.tif,3.987,0.6636,0,1196.1,6.636
104,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00104_0.tif,3.987,0.6687,0,1196.1,6.687
105,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00105_0.tif,3.982,0.6738,0,1194.6,6.738
106,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00106_0.tif,3.9769,0.6789,0,1193.07,6.789
107,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00107_0.tif,3.9769,0.689,0,1193.07,6.89
108,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00108_0.tif,3.9718,0.6941,0,1191.54,6.941
109,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00109_0.tif,3.9667,0.6992,0,1190.01,6.992
110,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00110_0.tif,3.9616,0.7043,0,1188.48,7.043
111,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00111_0.tif,3.9565,0.7145,0,1186.95,7.145
112,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00112_0.tif,3.9565,0.7196,0,1186.95,7.196
113,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00113_0.tif,3.9464,0.7297,0,1183.92,7.297
114,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00114_0.tif,3.9413,0.7348,0,1182.39,7.348
115,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00115_0.tif,3.9362,0.7399,0,1180.86,7.399
116,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00116_0.tif,3.9362,0.745,0,1180.86,7.45
117,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00117_0.tif,3.926,0.7552,0,1177.8,7.552
118,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00118_0.tif,3.9209,0.7603,0,1176.27,7.603
119,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00119_0.tif,3.9158,0.7654,0,1174.74,7.654
120,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00120_0.tif,3.9108,0.7755,0,1173.24,7.755
121,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00121_0.tif,3.9057,0.7806,0,1171.71,7.806
122,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00122_0.tif,3.9006,0.7857,0,1170.18,7.857
123,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00123_0.tif,3.8955,0.7959,0,1168.65,7.959
124,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00124_0.tif,3.8904,0.801,0,1167.12,8.01
125,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00125_0.tif,3.8802,0.8061,0,1164.06,8.061
126,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00126_0.tif,3.8752,0.8162,0,1162.56,8.162
127,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00127_0.tif,3.8701,0.8213,0,1161.03,8.213
128,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00128_0.tif,3.865,0.8264,0,1159.5,8.264
129,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00129_0.tif,3.8548,0.8315,0,1156.44,8.315
130,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00130_0.tif,3.8446,0.8417,0,1153.38,8.417
131,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00131_0.tif,3.8395,0.8468,0,1151.85,8.468
132,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00132_0.tif,3.8294,0.8518,0,1148.82,8.518
133,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00133_0.tif,3.8243,0.8569,0,1147.29,8.569
134,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00134_0.tif,3.8141,0.8671,0,1144.23,8.671
135,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00135_0.tif,3.809,0.8722,0,1142.7,8.722
136,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00136_0.tif,3.7989,0.8824,0,1139.67,8.824
137,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00137_0.tif,3.7938,0.8875,0,1138.14,8.875
138,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00138_0.tif,3.7836,0.8976,0,1135.08,8.976
139,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00139_0.tif,3.7734,0.9027,0,1132.02,9.027
140,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00140_0.tif,3.7683,0.9078,0,1130.49,9.078
141,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00141_0.tif,3.7633,0.9129,0,1128.99,9.129
142,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00142_0.tif,3.7531,0.9231,0,1125.93,9.231
143,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00143_0.tif,3.748,0.9282,0,1124.4,9.282
144,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00144_0.tif,3.7378,0.9332,0,1121.34,9.332
145,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00145_0.tif,3.7277,0.9383,0,1118.31,9.383
146,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00146_0.tif,3.7175,0.9485,0,1115.25,9.485
147,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00147_0.tif,3.7073,0.9536,0,1112.19,9.536
148,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00148_0.tif,3.7022,0.9587,0,1110.66,9.587
149,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00149_0.tif,3.692,0.9689,0,1107.6,9.689
150,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00150_0.tif,3.687,0.9739,0,1106.1,9.739
151,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00151_0.tif,3.6768,0.979,0,1103.04,9.79
152,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00152_0.tif,3.6666,0.9892,0,1099.98,9.892
153,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00153_0.tif,3.6564,0.9943,0,1096.92,9.943
154,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00154_0.tif,3.6514,0.9994,0,1095.42,9.994
155,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00155_0.tif,3.6361,1.0045,0,1090.83,10.045
156,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00156_0.tif,3.631,1.0146,0,1089.3,10.146
157,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00157_0.tif,3.6208,1.0248,0,1086.24,10.248
158,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00158_0.tif,3.6107,1.0248,0,1083.21,10.248
159,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00159_0.tif,3.6005,1.035,0,1080.15,10.35
160,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00160_0.tif,3.5903,1.0401,0,1077.09,10.401
161,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00161_0.tif,3.5852,1.0503,0,1075.56,10.503
162,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00162_0.tif,3.5751,1.0554,0,1072.53,10.554
163,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00163_0.tif,3.5649,1.0604,0,1069.47,10.604
164,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00164_0.tif,3.5547,1.0655,0,1066.41,10.655
165,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00165_0.tif,3.5496,1.0757,0,1064.88,10.757
166,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00166_0.tif,3.5395,1.0808,0,1061.85,10.808
167,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00167_0.tif,3.5293,1.0859,0,1058.79,10.859
168,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00168_0.tif,3.5191,1.091,0,1055.73,10.91
169,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00169_0.tif,3.5089,1.1011,0,1052.67,11.011
