Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
268,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00268_0.tif,2.6341,1.7625,0,790.23,17.625
269,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00269_0.tif,2.629,1.7676,0,788.7,17.676
270,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00270_0.tif,2.6189,1.7727,0,785.67,17.727
271,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00271_0.tif,2.6087,1.7778,0,782.61,17.778
272,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00272_0.tif,2.5985,1.788,0,779.55,17.88
273,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00273_0.tif,2.5985,1.7931,0,779.55,17.931
274,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00274_0.tif,2.5883,1.8032,0,776.49,18.032
275,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00275_0.tif,2.5833,1.8083,0,774.99,18.083
276,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00276_0.tif,2.5782,1.8134,0,773.46,18.134
277,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00277_0.tif,2.568,1.8185,0,770.4,18.185
278,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00278_0.tif,2.5578,1.8236,0,767.34,18.236
279,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00279_0.tif,2.5477,1.8338,0,764.31,18.338
280,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00280_0.tif,2.5375,1.8388,0,761.25,18.388
281,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00281_0.tif,2.5324,1.849,0,759.72,18.49
282,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00282_0.tif,2.5273,1.8541,0,758.19,18.541
283,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00283_0.tif,2.5171,1.8643,0,755.13,18.643
284,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00284_0.tif,2.5121,1.8694,0,753.63,18.694
285,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00285_0.tif,2.5019,1.8745,0,750.57,18.745
286,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00286_0.tif,2.4917,1.8795,0,747.51,18.795
287,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00287_0.tif,2.4866,1.8897,0,745.98,18.897
288,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00288_0.tif,2.4765,1.8948,0,742.95,18.948
289,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00289_0.tif,2.4714,1.8999,0,741.42,18.999
290,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00290_0.tif,2.4612,1.9101,0,738.36,19.101
291,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00291_0.tif,2.4561,1.9152,0,736.83,19.152
292,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00292_0.tif,2.4459,1.9202,0,733.77,19.202
293,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00293_0.tif,2.4358,1.9253,0,730.74,19.253
294,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00294_0.tif,2.4307,1.9355,0,729.21,19.355
295,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00295_0.tif,2.4205,1.9406,0,726.15,19.406
296,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00296_0.tif,2.4103,1.9457,0,723.09,19.457
297,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00297_0.tif,2.4052,1.9559,0,721.56,19.559
298,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00298_0.tif,2.4002,1.9609,0,720.06,19.609
299,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00299_0.tif,2.39,1.966,0,717,19.66
300,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00300_0.tif,2.3798,1.9711,0,713.94,19.711
301,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00301_0.tif,2.3747,1.9813,0,712.41,19.813
302,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00302_0.tif,2.3646,1.9864,0,709.38,19.864
303,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00303_0.tif,2.3544,1.9915,0,706.32,19.915
304,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00304_0.tif,2.3493,2.0017,0,704.79,20.017
305,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00305_0.tif,2.3442,2.0067,0,703.26,20.067
306,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00306_0.tif,2.334,2.0118,0,700.2,20.118
307,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00307_0.tif,2.329,2.022,0,698.7,20.22
308,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00308_0.tif,2.3137,2.0271,0,694.11,20.271
309,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00309_0.tif,2.3086,2.0322,0,692.58,20.322
310,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00310_0.tif,2.3035,2.0424,0,691.05,20.424
311,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00311_0.tif,2.2933,2.0474,0,687.99,20.474
312,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00312_0.tif,2.2883,2.0525,0,686.49,20.525
313,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00313_0.tif,2.2781,2.0576,0,683.43,20.576
314,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00314_0.tif,2.273,2.0678,0,681.9,20.678
315,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00315_0.tif,2.2679,2.0729,0,680.37,20.729
316,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00316_0.tif,2.2577,2.078,0,677.31,20.78
317,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00317_0.tif,2.2476,2.0881,0,674.28,20.881
318,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00318_0.tif,2.2425,2.0932,0,672.75,20.932
319,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00319_0.tif,2.2323,2.1034,0,669.69,21.034
320,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00320_0.tif,2.2272,2.1034,0,668.16,21.034
321,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00321_0.tif,2.2171,2.1136,0,665.13,21.136
322,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00322_0.tif,2.212,2.1187,0,663.6,21.187
323,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00323_0.tif,2.2018,2.1288,0,660.54,21.288
324,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00324_0.tif,2.1967,2.1339,0,659.01,21.339
325,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00325_0.tif,2.1865,2.139,0,655.95,21.39
