Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
484,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00484_0.tif,0.8285,3.1972,,248.55,31.972
485,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00485_0.tif,0.8234,3.2023,,247.02,32.023
486,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00486_0.tif,0.8184,3.2125,,245.52,32.125
487,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00487_0.tif,0.8133,3.2176,,243.99,32.176
488,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00488_0.tif,0.8031,3.2227,,240.93,32.227
489,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00489_0.tif,0.798,3.2329,,239.4,32.329
490,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00490_0.tif,0.7929,3.2329,,237.87,32.329
491,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00491_0.tif,0.7878,3.243,,236.34,32.43
492,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00492_0.tif,0.7827,3.2481,,234.81,32.481
493,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00493_0.tif,0.7827,3.2583,,234.81,32.583
494,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00494_0.tif,0.7777,3.2634,,233.31,32.634
495,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00495_0.tif,0.7675,3.2685,,230.25,32.685
496,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00496_0.tif,0.7624,3.2736,,228.72,32.736
497,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00497_0.tif,0.7573,3.2837,,227.19,32.837
498,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00498_0.tif,0.7522,3.2888,,225.66,32.888
499,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00499_0.tif,0.7522,3.2939,,225.66,32.939
500,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00500_0.tif,0.7471,3.3041,,224.13,33.041
501,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00501_0.tif,0.7421,3.3092,,222.63,33.092
502,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00502_0.tif,0.737,3.3143,,221.1,33.143
503,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00503_0.tif,0.7319,3.3193,,219.57,33.193
504,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00504_0.tif,0.7268,3.3295,,218.04,33.295
505,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00505_0.tif,0.7217,3.3346,,216.51,33.346
506,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00506_0.tif,0.7166,3.3448,,214.98,33.448
507,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00507_0.tif,0.7115,3.3499,,213.45,33.499
508,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00508_0.tif,0.7065,3.355,,211.95,33.55
509,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00509_0.tif,0.7014,3.3651,,210.42,33.651
510,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00510_0.tif,0.6963,3.3702,,208.89,33.702
511,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00511_0.tif,0.6963,3.3753,,208.89,33.753
512,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00512_0.tif,0.6912,3.3855,,207.36,33.855
513,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00513_0.tif,0.6861,3.3906,,205.83,33.906
514,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00514_0.tif,0.681,3.3957,,204.3,33.957
515,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00515_0.tif,0.6759,3.4007,,202.77,34.007
516,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00516_0.tif,0.6709,3.4109,,201.27,34.109
517,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00517_0.tif,0.6658,3.416,,199.74,34.16
518,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00518_0.tif,0.6658,3.4211,,199.74,34.211
519,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00519_0.tif,0.6607,3.4313,,198.21,34.313
520,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00520_0.tif,0.6607,3.4364,,198.21,34.364
521,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00521_0.tif,0.6556,3.4415,,196.68,34.415
522,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00522_0.tif,0.6505,3.4465,,195.15,34.465
523,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00523_0.tif,0.6454,3.4567,,193.62,34.567
524,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00524_0.tif,0.6403,3.4618,,192.09,34.618
525,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00525_0.tif,0.6352,3.4669,,190.56,34.669
526,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00526_0.tif,0.6352,3.4771,,190.56,34.771
527,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00527_0.tif,0.6251,3.4822,,187.53,34.822
528,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00528_0.tif,0.6251,3.4872,,187.53,34.872
529,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00529_0.tif,0.62,3.4923,,186,34.923
530,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00530_0.tif,0.6149,3.5025,,184.47,35.025
531,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00531_0.tif,0.6149,3.5076,,184.47,35.076
532,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00532_0.tif,0.6098,3.5178,,182.94,35.178
533,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00533_0.tif,0.6047,3.5229,,181.41,35.229
534,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00534_0.tif,0.6047,3.5279,,181.41,35.279
535,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00535_0.tif,0.5996,3.533,,179.88,35.33
536,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00536_0.tif,0.5946,3.5432,,178.38,35.432
537,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00537_0.tif,0.5895,3.5483,,176.85,35.483
538,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00538_0.tif,0.5895,3.5534,,176.85,35.534
539,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00539_0.tif,0.5844,3.5585,,175.32,35.585
540,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00540_0.tif,0.5793,3.5686,,173.79,35.686
541,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00541_0.tif,0.5742,3.5737,,172.26,35.737
542,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00542_0.tif,0.5742,3.5839,,172.26,35.839
543,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00543_0.tif,0.5691,3.589,,170.73,35.89
544,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00544_0.tif,0.564,3.5941,,169.2,35.941
545,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00545_0.tif,0.564,3.5992,,169.2,35.992
