Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
69,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00069_0.tif,4.4448,0.4347,,1333.44,4.347
70,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00070_0.tif,4.4702,0.4397,,1341.06,4.397
71,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00071_0.tif,4.5058,0.4448,,1351.74,4.448
72,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00072_0.tif,4.5313,0.4499,,1359.39,4.499
73,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00073_0.tif,4.5618,0.4601,,1368.54,4.601
74,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00074_0.tif,4.5821,0.4652,,1374.63,4.652
75,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00075_0.tif,4.6076,0.4754,,1382.28,4.754
76,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00076_0.tif,4.6279,0.4804,,1388.37,4.804
77,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00077_0.tif,4.6483,0.4855,,1394.49,4.855
78,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00078_0.tif,4.6686,0.4957,,1400.58,4.957
79,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00079_0.tif,4.6839,0.5008,,1405.17,5.008
80,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00080_0.tif,4.6737,0.5059,,1402.11,5.059
81,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00081_0.tif,4.6788,0.5161,,1403.64,5.161
82,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00082_0.tif,4.6737,0.5211,,1402.11,5.211
83,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00083_0.tif,4.6737,0.5262,,1402.11,5.262
84,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00084_0.tif,4.6686,0.5313,,1400.58,5.313
85,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00085_0.tif,4.6584,0.5415,,1397.52,5.415
86,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00086_0.tif,4.6533,0.5466,,1395.99,5.466
87,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00087_0.tif,4.6533,0.5517,,1395.99,5.517
88,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00088_0.tif,4.6533,0.5568,,1395.99,5.568
89,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00089_0.tif,4.6533,0.5669,,1395.99,5.669
90,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00090_0.tif,4.6533,0.572,,1395.99,5.72
91,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00091_0.tif,4.6584,0.5822,,1397.52,5.822
92,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00092_0.tif,4.6584,0.5873,,1397.52,5.873
93,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00093_0.tif,4.6635,0.5924,,1399.05,5.924
94,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00094_0.tif,4.6635,0.5975,,1399.05,5.975
95,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00095_0.tif,4.6635,0.6076,,1399.05,6.076
96,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00096_0.tif,4.6635,0.6127,,1399.05,6.127
97,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00097_0.tif,4.6635,0.6229,,1399.05,6.229
98,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00098_0.tif,4.6584,0.628,,1397.52,6.28
99,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00099_0.tif,4.6533,0.6331,,1395.99,6.331
100,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00100_0.tif,4.6533,0.6433,,1395.99,6.433
101,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00101_0.tif,4.6533,0.6433,,1395.99,6.433
102,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00102_0.tif,4.6533,0.6534,,1395.99,6.534
103,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00103_0.tif,4.6483,0.6636,,1394.49,6.636
104,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00104_0.tif,4.6483,0.6636,,1394.49,6.636
105,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00105_0.tif,4.6381,0.6738,,1391.43,6.738
106,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00106_0.tif,4.633,0.6789,,1389.9,6.789
107,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00107_0.tif,4.633,0.684,,1389.9,6.84
108,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00108_0.tif,4.6279,0.6941,,1388.37,6.941
109,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00109_0.tif,4.6177,0.6992,,1385.31,6.992
110,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00110_0.tif,4.6177,0.7043,,1385.31,7.043
111,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00111_0.tif,4.6127,0.7145,,1383.81,7.145
112,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00112_0.tif,4.6076,0.7196,,1382.28,7.196
