Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
495,D:/Zhiyuan/20231102-CT/T8Pure\S1-00495_0.tif,3.3106,1.0146,,304.38,33.106
496,D:/Zhiyuan/20231102-CT/T8Pure\S1-00496_0.tif,3.3157,1.0045,,301.35,33.157
497,D:/Zhiyuan/20231102-CT/T8Pure\S1-00497_0.tif,3.3258,1.0045,,301.35,33.258
498,D:/Zhiyuan/20231102-CT/T8Pure\S1-00498_0.tif,3.3309,0.9943,,298.29,33.309
499,D:/Zhiyuan/20231102-CT/T8Pure\S1-00499_0.tif,3.336,0.9892,,296.76,33.36
500,D:/Zhiyuan/20231102-CT/T8Pure\S1-00500_0.tif,3.3462,0.9841,,295.23,33.462
501,D:/Zhiyuan/20231102-CT/T8Pure\S1-00501_0.tif,3.3513,0.979,,293.7,33.513
502,D:/Zhiyuan/20231102-CT/T8Pure\S1-00502_0.tif,3.3564,0.9689,,290.67,33.564
503,D:/Zhiyuan/20231102-CT/T8Pure\S1-00503_0.tif,3.3665,0.9689,,290.67,33.665
504,D:/Zhiyuan/20231102-CT/T8Pure\S1-00504_0.tif,3.3716,0.9587,,287.61,33.716
505,D:/Zhiyuan/20231102-CT/T8Pure\S1-00505_0.tif,3.3767,0.9536,,286.08,33.767
506,D:/Zhiyuan/20231102-CT/T8Pure\S1-00506_0.tif,3.3869,0.9485,,284.55,33.869
507,D:/Zhiyuan/20231102-CT/T8Pure\S1-00507_0.tif,3.392,0.9434,,283.02,33.92
508,D:/Zhiyuan/20231102-CT/T8Pure\S1-00508_0.tif,3.3971,0.9383,,281.49,33.971
509,D:/Zhiyuan/20231102-CT/T8Pure\S1-00509_0.tif,3.4072,0.9332,,279.96,34.072
510,D:/Zhiyuan/20231102-CT/T8Pure\S1-00510_0.tif,3.4123,0.9282,,278.46,34.123
511,D:/Zhiyuan/20231102-CT/T8Pure\S1-00511_0.tif,3.4174,0.9231,,276.93,34.174
512,D:/Zhiyuan/20231102-CT/T8Pure\S1-00512_0.tif,3.4225,0.9129,,273.87,34.225
513,D:/Zhiyuan/20231102-CT/T8Pure\S1-00513_0.tif,3.4327,0.9078,,272.34,34.327
514,D:/Zhiyuan/20231102-CT/T8Pure\S1-00514_0.tif,3.4377,0.9027,,270.81,34.377
515,D:/Zhiyuan/20231102-CT/T8Pure\S1-00515_0.tif,3.4428,0.8976,,269.28,34.428
516,D:/Zhiyuan/20231102-CT/T8Pure\S1-00516_0.tif,3.453,0.8925,,267.75,34.53
517,D:/Zhiyuan/20231102-CT/T8Pure\S1-00517_0.tif,3.4581,0.8875,,266.25,34.581
518,D:/Zhiyuan/20231102-CT/T8Pure\S1-00518_0.tif,3.4632,0.8824,,264.72,34.632
519,D:/Zhiyuan/20231102-CT/T8Pure\S1-00519_0.tif,3.4683,0.8773,,263.19,34.683
520,D:/Zhiyuan/20231102-CT/T8Pure\S1-00520_0.tif,3.4784,0.8722,,261.66,34.784
521,D:/Zhiyuan/20231102-CT/T8Pure\S1-00521_0.tif,3.4835,0.8671,,260.13,34.835
522,D:/Zhiyuan/20231102-CT/T8Pure\S1-00522_0.tif,3.4937,0.862,,258.6,34.937
523,D:/Zhiyuan/20231102-CT/T8Pure\S1-00523_0.tif,3.4988,0.8569,,257.07,34.988
524,D:/Zhiyuan/20231102-CT/T8Pure\S1-00524_0.tif,3.5039,0.8518,,255.54,35.039
525,D:/Zhiyuan/20231102-CT/T8Pure\S1-00525_0.tif,3.514,0.8417,,252.51,35.14
526,D:/Zhiyuan/20231102-CT/T8Pure\S1-00526_0.tif,3.5191,0.8417,,252.51,35.191
527,D:/Zhiyuan/20231102-CT/T8Pure\S1-00527_0.tif,3.5242,0.8315,,249.45,35.242
528,D:/Zhiyuan/20231102-CT/T8Pure\S1-00528_0.tif,3.5344,0.8315,,249.45,35.344
529,D:/Zhiyuan/20231102-CT/T8Pure\S1-00529_0.tif,3.5344,0.8264,,247.92,35.344
530,D:/Zhiyuan/20231102-CT/T8Pure\S1-00530_0.tif,3.5446,0.8213,,246.39,35.446
531,D:/Zhiyuan/20231102-CT/T8Pure\S1-00531_0.tif,3.5496,0.8162,,244.86,35.496
532,D:/Zhiyuan/20231102-CT/T8Pure\S1-00532_0.tif,3.5598,0.8061,,241.83,35.598
533,D:/Zhiyuan/20231102-CT/T8Pure\S1-00533_0.tif,3.5649,0.8061,,241.83,35.649
534,D:/Zhiyuan/20231102-CT/T8Pure\S1-00534_0.tif,3.5751,0.801,,240.3,35.751
535,D:/Zhiyuan/20231102-CT/T8Pure\S1-00535_0.tif,3.5751,0.7959,,238.77,35.751
536,D:/Zhiyuan/20231102-CT/T8Pure\S1-00536_0.tif,3.5852,0.7908,,237.24,35.852
537,D:/Zhiyuan/20231102-CT/T8Pure\S1-00537_0.tif,3.5954,0.7857,,235.71,35.954
538,D:/Zhiyuan/20231102-CT/T8Pure\S1-00538_0.tif,3.5954,0.7806,,234.18,35.954
539,D:/Zhiyuan/20231102-CT/T8Pure\S1-00539_0.tif,3.6056,0.7755,,232.65,36.056
540,D:/Zhiyuan/20231102-CT/T8Pure\S1-00540_0.tif,3.6107,0.7704,,231.12,36.107
541,D:/Zhiyuan/20231102-CT/T8Pure\S1-00541_0.tif,3.6158,0.7654,,229.62,36.158
542,D:/Zhiyuan/20231102-CT/T8Pure\S1-00542_0.tif,3.6259,0.7603,,228.09,36.259
543,D:/Zhiyuan/20231102-CT/T8Pure\S1-00543_0.tif,3.631,0.7552,,226.56,36.31
544,D:/Zhiyuan/20231102-CT/T8Pure\S1-00544_0.tif,3.6361,0.7501,,225.03,36.361
545,D:/Zhiyuan/20231102-CT/T8Pure\S1-00545_0.tif,3.6463,0.7501,,225.03,36.463
