Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
128,D:/Zhiyuan/20231102-CT/T8Pure\S1-00128_0.tif,0.8641,4.0723,,1221.69,8.641
129,D:/Zhiyuan/20231102-CT/T8Pure\S1-00129_0.tif,0.8692,4.0621,,1218.63,8.692
130,D:/Zhiyuan/20231102-CT/T8Pure\S1-00130_0.tif,0.8794,4.0621,,1218.63,8.794
131,D:/Zhiyuan/20231102-CT/T8Pure\S1-00131_0.tif,0.8845,4.0571,,1217.13,8.845
132,D:/Zhiyuan/20231102-CT/T8Pure\S1-00132_0.tif,0.8896,4.052,,1215.6,8.896
133,D:/Zhiyuan/20231102-CT/T8Pure\S1-00133_0.tif,0.8997,4.0418,,1212.54,8.997
134,D:/Zhiyuan/20231102-CT/T8Pure\S1-00134_0.tif,0.9048,4.0367,,1211.01,9.048
135,D:/Zhiyuan/20231102-CT/T8Pure\S1-00135_0.tif,0.9099,4.0316,,1209.48,9.099
136,D:/Zhiyuan/20231102-CT/T8Pure\S1-00136_0.tif,0.9201,4.0214,,1206.42,9.201
137,D:/Zhiyuan/20231102-CT/T8Pure\S1-00137_0.tif,0.9252,4.0164,,1204.92,9.252
138,D:/Zhiyuan/20231102-CT/T8Pure\S1-00138_0.tif,0.9302,4.0062,,1201.86,9.302
139,D:/Zhiyuan/20231102-CT/T8Pure\S1-00139_0.tif,0.9404,4.0011,,1200.33,9.404
140,D:/Zhiyuan/20231102-CT/T8Pure\S1-00140_0.tif,0.9455,3.996,,1198.8,9.455
141,D:/Zhiyuan/20231102-CT/T8Pure\S1-00141_0.tif,0.9506,3.9858,,1195.74,9.506
142,D:/Zhiyuan/20231102-CT/T8Pure\S1-00142_0.tif,0.9608,3.9807,,1194.21,9.608
143,D:/Zhiyuan/20231102-CT/T8Pure\S1-00143_0.tif,0.9659,3.9757,,1192.71,9.659
144,D:/Zhiyuan/20231102-CT/T8Pure\S1-00144_0.tif,0.9709,3.9604,,1188.12,9.709
145,D:/Zhiyuan/20231102-CT/T8Pure\S1-00145_0.tif,0.9811,3.9553,,1186.59,9.811
146,D:/Zhiyuan/20231102-CT/T8Pure\S1-00146_0.tif,0.9862,3.9451,,1183.53,9.862
147,D:/Zhiyuan/20231102-CT/T8Pure\S1-00147_0.tif,0.9913,3.935,,1180.5,9.913
148,D:/Zhiyuan/20231102-CT/T8Pure\S1-00148_0.tif,0.9964,3.9299,,1178.97,9.964
149,D:/Zhiyuan/20231102-CT/T8Pure\S1-00149_0.tif,1.0065,3.9248,,1177.44,10.065
150,D:/Zhiyuan/20231102-CT/T8Pure\S1-00150_0.tif,1.0116,3.9146,,1174.38,10.116
151,D:/Zhiyuan/20231102-CT/T8Pure\S1-00151_0.tif,1.0167,3.9044,,1171.32,10.167
152,D:/Zhiyuan/20231102-CT/T8Pure\S1-00152_0.tif,1.0269,3.8993,,1169.79,10.269
153,D:/Zhiyuan/20231102-CT/T8Pure\S1-00153_0.tif,1.032,3.8892,,1166.76,10.32
154,D:/Zhiyuan/20231102-CT/T8Pure\S1-00154_0.tif,1.0371,3.879,,1163.7,10.371
155,D:/Zhiyuan/20231102-CT/T8Pure\S1-00155_0.tif,1.0472,3.8739,,1162.17,10.472
156,D:/Zhiyuan/20231102-CT/T8Pure\S1-00156_0.tif,1.0523,3.8688,,1160.64,10.523
157,D:/Zhiyuan/20231102-CT/T8Pure\S1-00157_0.tif,1.0574,3.8586,,1157.58,10.574
158,D:/Zhiyuan/20231102-CT/T8Pure\S1-00158_0.tif,1.0676,3.8485,,1154.55,10.676
159,D:/Zhiyuan/20231102-CT/T8Pure\S1-00159_0.tif,1.0727,3.8383,,1151.49,10.727
160,D:/Zhiyuan/20231102-CT/T8Pure\S1-00160_0.tif,1.0777,3.8332,,1149.96,10.777
161,D:/Zhiyuan/20231102-CT/T8Pure\S1-00161_0.tif,1.0828,3.823,,1146.9,10.828
162,D:/Zhiyuan/20231102-CT/T8Pure\S1-00162_0.tif,1.093,3.8128,,1143.84,10.93
163,D:/Zhiyuan/20231102-CT/T8Pure\S1-00163_0.tif,1.0981,3.8027,,1140.81,10.981
164,D:/Zhiyuan/20231102-CT/T8Pure\S1-00164_0.tif,1.1083,3.7976,,1139.28,11.083
165,D:/Zhiyuan/20231102-CT/T8Pure\S1-00165_0.tif,1.1134,3.7874,,1136.22,11.134
166,D:/Zhiyuan/20231102-CT/T8Pure\S1-00166_0.tif,1.1184,3.7772,,1133.16,11.184
167,D:/Zhiyuan/20231102-CT/T8Pure\S1-00167_0.tif,1.1286,3.7721,,1131.63,11.286
168,D:/Zhiyuan/20231102-CT/T8Pure\S1-00168_0.tif,1.1337,3.762,,1128.6,11.337
169,D:/Zhiyuan/20231102-CT/T8Pure\S1-00169_0.tif,1.1388,3.7518,,1125.54,11.388
170,D:/Zhiyuan/20231102-CT/T8Pure\S1-00170_0.tif,1.149,3.7416,,1122.48,11.49
171,D:/Zhiyuan/20231102-CT/T8Pure\S1-00171_0.tif,1.154,3.7365,,1120.95,11.54
172,D:/Zhiyuan/20231102-CT/T8Pure\S1-00172_0.tif,1.1591,3.7264,,1117.92,11.591
173,D:/Zhiyuan/20231102-CT/T8Pure\S1-00173_0.tif,1.1642,3.7162,,1114.86,11.642
174,D:/Zhiyuan/20231102-CT/T8Pure\S1-00174_0.tif,1.1744,3.706,,1111.8,11.744
175,D:/Zhiyuan/20231102-CT/T8Pure\S1-00175_0.tif,1.1795,3.6958,,1108.74,11.795
176,D:/Zhiyuan/20231102-CT/T8Pure\S1-00176_0.tif,1.1846,3.6857,,1105.71,11.846
177,D:/Zhiyuan/20231102-CT/T8Pure\S1-00177_0.tif,1.1896,3.6755,,1102.65,11.896
178,D:/Zhiyuan/20231102-CT/T8Pure\S1-00178_0.tif,1.1998,3.6704,,1101.12,11.998
179,D:/Zhiyuan/20231102-CT/T8Pure\S1-00179_0.tif,1.2049,3.6602,,1098.06,12.049
180,D:/Zhiyuan/20231102-CT/T8Pure\S1-00180_0.tif,1.2151,3.65,,1095,12.151
181,D:/Zhiyuan/20231102-CT/T8Pure\S1-00181_0.tif,1.2202,3.6348,,1090.44,12.202
182,D:/Zhiyuan/20231102-CT/T8Pure\S1-00182_0.tif,1.2303,3.6297,,1088.91,12.303
183,D:/Zhiyuan/20231102-CT/T8Pure\S1-00183_0.tif,1.2354,3.6195,,1085.85,12.354
184,D:/Zhiyuan/20231102-CT/T8Pure\S1-00184_0.tif,1.2405,3.6093,,1082.79,12.405
185,D:/Zhiyuan/20231102-CT/T8Pure\S1-00185_0.tif,1.2456,3.6043,,1081.29,12.456
186,D:/Zhiyuan/20231102-CT/T8Pure\S1-00186_0.tif,1.2507,3.5941,,1078.23,12.507
187,D:/Zhiyuan/20231102-CT/T8Pure\S1-00187_0.tif,1.2558,3.5839,,1075.17,12.558
188,D:/Zhiyuan/20231102-CT/T8Pure\S1-00188_0.tif,1.2659,3.5737,,1072.11,12.659
189,D:/Zhiyuan/20231102-CT/T8Pure\S1-00189_0.tif,1.2761,3.5686,,1070.58,12.761
190,D:/Zhiyuan/20231102-CT/T8Pure\S1-00190_0.tif,1.2812,3.5585,,1067.55,12.812
191,D:/Zhiyuan/20231102-CT/T8Pure\S1-00191_0.tif,1.2863,3.5483,,1064.49,12.863
192,D:/Zhiyuan/20231102-CT/T8Pure\S1-00192_0.tif,1.2914,3.5381,,1061.43,12.914
193,D:/Zhiyuan/20231102-CT/T8Pure\S1-00193_0.tif,1.2965,3.533,,1059.9,12.965
194,D:/Zhiyuan/20231102-CT/T8Pure\S1-00194_0.tif,1.3066,3.5178,,1055.34,13.066
195,D:/Zhiyuan/20231102-CT/T8Pure\S1-00195_0.tif,1.3117,3.5127,,1053.81,13.117
196,D:/Zhiyuan/20231102-CT/T8Pure\S1-00196_0.tif,1.3219,3.5025,,1050.75,13.219
197,D:/Zhiyuan/20231102-CT/T8Pure\S1-00197_0.tif,1.327,3.4923,,1047.69,13.27
198,D:/Zhiyuan/20231102-CT/T8Pure\S1-00198_0.tif,1.3321,3.4822,,1044.66,13.321
199,D:/Zhiyuan/20231102-CT/T8Pure\S1-00199_0.tif,1.3371,3.472,,1041.6,13.371
200,D:/Zhiyuan/20231102-CT/T8Pure\S1-00200_0.tif,1.3473,3.4669,,1040.07,13.473
201,D:/Zhiyuan/20231102-CT/T8Pure\S1-00201_0.tif,1.3524,3.4516,,1035.48,13.524
202,D:/Zhiyuan/20231102-CT/T8Pure\S1-00202_0.tif,1.3575,3.4465,,1033.95,13.575
203,D:/Zhiyuan/20231102-CT/T8Pure\S1-00203_0.tif,1.3677,3.4364,,1030.92,13.677
204,D:/Zhiyuan/20231102-CT/T8Pure\S1-00204_0.tif,1.3727,3.4313,,1029.39,13.727
205,D:/Zhiyuan/20231102-CT/T8Pure\S1-00205_0.tif,1.3778,3.4211,,1026.33,13.778
206,D:/Zhiyuan/20231102-CT/T8Pure\S1-00206_0.tif,1.388,3.4109,,1023.27,13.88
207,D:/Zhiyuan/20231102-CT/T8Pure\S1-00207_0.tif,1.3931,3.4058,,1021.74,13.931
208,D:/Zhiyuan/20231102-CT/T8Pure\S1-00208_0.tif,1.3982,3.3906,,1017.18,13.982
209,D:/Zhiyuan/20231102-CT/T8Pure\S1-00209_0.tif,1.4033,3.3804,,1014.12,14.033
210,D:/Zhiyuan/20231102-CT/T8Pure\S1-00210_0.tif,1.4134,3.3753,,1012.59,14.134
211,D:/Zhiyuan/20231102-CT/T8Pure\S1-00211_0.tif,1.4185,3.3651,,1009.53,14.185
212,D:/Zhiyuan/20231102-CT/T8Pure\S1-00212_0.tif,1.4287,3.36,,1008,14.287
213,D:/Zhiyuan/20231102-CT/T8Pure\S1-00213_0.tif,1.4338,3.3448,,1003.44,14.338
214,D:/Zhiyuan/20231102-CT/T8Pure\S1-00214_0.tif,1.4389,3.3397,,1001.91,14.389
215,D:/Zhiyuan/20231102-CT/T8Pure\S1-00215_0.tif,1.444,3.3295,,998.85,14.44
216,D:/Zhiyuan/20231102-CT/T8Pure\S1-00216_0.tif,1.4541,3.3193,,995.79,14.541
217,D:/Zhiyuan/20231102-CT/T8Pure\S1-00217_0.tif,1.4592,3.3092,,992.76,14.592
218,D:/Zhiyuan/20231102-CT/T8Pure\S1-00218_0.tif,1.4694,3.3041,,991.23,14.694
219,D:/Zhiyuan/20231102-CT/T8Pure\S1-00219_0.tif,1.4745,3.2939,,988.17,14.745
220,D:/Zhiyuan/20231102-CT/T8Pure\S1-00220_0.tif,1.4796,3.2837,,985.11,14.796
221,D:/Zhiyuan/20231102-CT/T8Pure\S1-00221_0.tif,1.4846,3.2786,,983.58,14.846
222,D:/Zhiyuan/20231102-CT/T8Pure\S1-00222_0.tif,1.4948,3.2685,,980.55,14.948
223,D:/Zhiyuan/20231102-CT/T8Pure\S1-00223_0.tif,1.4999,3.2634,,979.02,14.999
224,D:/Zhiyuan/20231102-CT/T8Pure\S1-00224_0.tif,1.5101,3.2481,,974.43,15.101
225,D:/Zhiyuan/20231102-CT/T8Pure\S1-00225_0.tif,1.5152,3.243,,972.9,15.152
